datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,location
2011-01-02 0:00,4,0,1,2,12.67,11.33,8.3333,8.6667,7,13,20,busan
2011-01-02 0:00,4,0,1,3,7,15.67,5.6667,5,94,16,110,busan
2011-01-02 3:00,4,0,1,2,12.33,19.33,9,6.3333,136,7,143,busan
2011-05-06 9:00,4,1,1,2,11.67,10,8,7.3333,59,5,64,incheon
2011-01-02 4:00,1,1,1,2,10.67,18.67,6,3.3333,68,5,73,busan
2012-01-03 2:00,4,1,1,1,3.67,19,8,9,141,3,144,seoul
2012-03-10 15:00,1,0,0,1,13.94,18.18,25,0,132,274,406,seoul
2011-06-07 6:00,4,0,1,1,5,8,7,3.6667,52,11,63,seoul
2012-08-25 5:00,2,0,0,2,7.67,17.33,8.6667,8.3333,110,2,112,incheon
2012-09-05 11:00,3,0,1,2,31.98,37.12,62,11.0014,61,156,217,seoul
2011-01-02 5:00,4,1,1,1,4.67,16,9.3333,7,65,3,68,busan
2012-11-19 18:00,2,1,0,2,9.67,16.33,7.6667,9,58,11,69,incheon
2011-09-14 23:00,3,0,1,2,26.24,30.305,69,7.0015,10,62,72,seoul
2011-03-04 23:00,3,0,1,1,5.33,6.67,3.3333,8,137,18,155,seoul
2012-05-06 3:00,3,0,0,3,11,13.67,3.6667,5,103,19,122,incheon
2012-10-16 15:00,4,0,0,1,15,16.67,7,8.6667,28,4,32,incheon
2011-01-02 6:00,1,0,1,1,16.67,17.67,7.3333,9,76,19,95,busan
2011-01-02 7:00,3,1,0,1,5.67,11.67,5.3333,7.3333,28,2,30,busan
2011-09-26 16:00,4,0,1,2,4.33,14.33,5,9,27,11,38,incheon
2011-01-02 7:00,3,0,1,1,16.33,18.67,7.6667,7.6667,86,1,87,busan
2012-04-10 12:00,2,1,0,3,4.67,17.67,7.6667,8.3333,40,6,46,seoul
2012-12-03 2:00,4,0,1,1,17.22,21.21,77,11.0014,1,9,10,seoul
2012-05-24 13:00,4,1,0,2,15.67,11.33,5.6667,7.3333,148,16,164,incheon
2011-01-02 8:00,2,0,1,1,13.67,11.33,6,6,136,8,144,busan
2011-01-02 8:00,2,1,0,2,11,7.67,6,8.3333,100,17,117,busan
2011-01-02 9:00,4,0,1,3,10.67,9,3.3333,9.3333,124,17,141,busan
2011-01-30 10:00,3,1,0,2,16,17.67,6.3333,3.6667,108,18,126,incheon
2012-05-13 15:00,2,0,0,3,7.67,13,4.6667,9,62,13,75,seoul
2011-01-02 10:00,2,1,0,3,11.67,12.33,8.6667,7,14,5,19,busan
2012-01-30 3:00,4,1,1,3,6,17.67,6.6667,4,32,17,49,incheon
2012-03-25 21:00,4,1,1,1,7,14.33,4,3.6667,89,14,103,seoul
2011-05-04 9:00,2,0,0,1,7.33,19.33,9.6667,5,90,4,94,incheon
2011-01-02 11:00,2,0,0,1,15,14,5.3333,5.3333,64,17,81,busan
2011-01-02 11:00,1,0,1,1,3.33,20,7.6667,6.3333,86,4,90,busan
2011-02-27 21:00,1,1,0,2,8,12.67,6,6.3333,9,5,14,incheon
2011-08-17 22:00,4,1,0,2,10,12.33,9.6667,8.6667,129,16,145,seoul
2011-08-21 3:00,2,0,1,2,15.33,18.33,4,6,99,2,101,incheon
2012-04-03 18:00,2,0,1,1,24.6,30.305,26,11.0014,139,661,800,seoul
2011-11-14 15:00,4,0,1,2,13.33,8.33,9.6667,5,120,4,124,incheon
2012-09-08 19:00,3,0,0,3,23.78,27.275,88,7.0015,28,187,215,seoul
2011-01-19 18:00,1,0,0,3,14.33,17.67,5,6.6667,100,3,103,incheon
2011-11-05 5:00,1,0,0,1,6.67,14.67,9.6667,9.6667,29,11,40,incheon
2011-01-02 12:00,4,0,1,3,15.67,15.33,9.3333,4.3333,56,18,74,busan
